Banks,NNS,166
,,
beware,NN,
,,
",",",",
,,
Amazon,NNP,
,,
and,CC,
,,
Walmart,NNP,
,,
are,VBP,
,,
cracking,VBG,
,,
the,DT,
,,
code,NN,
,,
for,IN,
,,
finance,NN,
,,
LONDON,NNP,
,,
",",",",
,,
Sept,NNP,
,,
17,CD,
,,
(,(,
,,
Reuters,NNPS,
,,
),),
,,
-,:,
,,
Anyone,NN,
,,
can,MD,
,,
be,VB,
,,
a,DT,
,,
banker,NN,
,,
these,DT,
,,
days,NNS,
,,
",",",",
,,
you,PRP,
,,
just,RB,
,,
need,VB,
,,
the,DT,
,,
right,JJ,
,,
code,NN,
,,
.,.,
,,
Global,NNP,
,,
brands,VBZ,
,,
from,IN,
,,
Mercedes,NNP,
,,
and,CC,
,,
Amazon,NNP,
,,
(,(,
,,
AMZN.O,NNP,
,,
),),
,,
to,TO,
,,
IKEA,NNP,
,,
and,CC,
,,
Walmart,NNP,
,,
(,(,
,,
WMT.N,NNP,
,,
),),
,,
are,VBP,
,,
cutting,VBG,
,,
out,RP,
,,
the,DT,
,,
traditional,JJ,
,,
financial,JJ,
,,
middleman,NN,
,,
and,CC,
,,
plugging,NN,
,,
in,IN,
,,
software,NN,
,,
from,IN,
,,
tech,NN,
,,
startups,NNS,
,,
to,TO,
,,
offer,VB,
,,
customers,NNS,
,,
everything,NN,
,,
from,IN,
,,
banking,NN,
,,
and,CC,
,,
credit,NN,
,,
to,TO,
,,
insurance,NN,
,,
.,.,
,,
For,IN,
,,
established,VBN,
,,
financial,JJ,
,,
institutions,NNS,
,,
",",",",
,,
the,DT,
,,
warning,NN,
,,
signs,NNS,
,,
are,VBP,
,,
flashing,VBG,
,,
.,.,
,,
So-called,NNP,
,,
embedded,VBD,
,,
finance,NN,
,,
-,:,
,,
a,DT,
,,
fancy,JJ,
,,
term,NN,
,,
for,IN,
,,
companies,NNS,
,,
integrating,VBG,
,,
software,NN,
,,
to,TO,
,,
offer,VB,
,,
financial,JJ,
,,
services,NNS,
,,
-,:,
,,
means,VBZ,
,,
Amazon,NNP,
,,
can,MD,
,,
let,VB,
,,
customers,NNS,
,,
``,``,
,,
buy,VB,
,,
now,RB,
,,
pay,VBP,
,,
later,RB,
,,
'','',
,,
when,WRB,
,,
they,PRP,
,,
check,VBP,
,,
out,RP,
,,
and,CC,
,,
